DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
W195,redacted,redacted,New Bedford,W,,,42.21504456,71.7465445,179643.2685,884984.0556,T,66
F360,redacted,redacted,Malden,F,,,42.42796112,71.0574296,236419.41,908699.0187,M,100
F361,redacted,redacted,Hanover,F,,,42.14194332,70.8412544,254453.6743,877045.3497,M,100
F362,redacted,redacted,Revere,F,,,42.40761627,70.9942272,241633.7234,906468.1011,M,100
W196,redacted,redacted,Lawrence,W,,,42.64601382,71.3140052,215252.8717,932842.8429,T,66
R903,redacted,redacted,Orleans,R,,21,41.79125378,69.9869769,325756.1155,838999.452,M,100
F363,redacted,redacted,Brookline,F,,,42.3387587,71.1372025,229897.0349,898759.7467,M,100
F364,redacted,redacted,Boston,F,,,42.34969565,71.0390953,237975.1135,900013.6031,M,100
W197,redacted,redacted,Boston,W,,,42.34969565,71.0390953,237975.1135,900013.6031,M,66
R3092,redacted,redacted,Salisbury,R,,60,42.8253499,70.8660666,251838.4767,952941.032,M,100
G228,redacted,redacted,Rockport,G,,48,42.65565085,70.6264618,271624.0818,934263.5099,M,100
F365,redacted,redacted,Cambridge,F,,,42.3930522,71.1471879,229049.2316,904786.9987,M,100
R2162,redacted,redacted,Springfield,R,,37.5,42.14069548,72.4996724,117363.8535,877180.7292,M,100
R2486,redacted,redacted,Norwood,R,,43.5,42.1652726,71.1985488,224909.7996,879470.3304,M,91
R2611,redacted,redacted,Saugus,R,,45,42.4947865,71.0160518,239782.2678,916140.3201,M,100
R3169,redacted,redacted,SHREWSBURY,R,,63,42.27455377,71.750812,179310.3415,891594.9888,M,100
R167,redacted,redacted,Milford,R,,15,42.15204428,71.4871105,201065.32,877957.0916,M,100
R2612,redacted,redacted,Leominster,R,,45,42.50783998,71.7516921,179314.213,917507.9713,M,100
R904,redacted,redacted,Waltham,R,,21,42.37629735,71.2467458,220857.5579,902896.7988,M,100
R3093,redacted,redacted,Fitchburg,R,,60,42.56696623,71.7781518,177160.9943,924082.535,M,100
R1655,redacted,redacted,Boston,R,,30,42.34882998,71.0941387,233440.445,899894.4055,M,100
W198,redacted,redacted,Wakefield,W,,,42.5042348,71.0771112,234757.8082,917163.1481,M,100
